,MAE,MSE,RMSE,R²,sample_size,mean_difference,std_difference,t_statistic,p_value,ci_lower,ci_upper,effect_size,normality_test_p,wilcoxon_statistic,wilcoxon_p,轻微延误/提前 (-15至15分钟),中等延误 (15至60分钟),低不确定性,中不确定性,高不确定性
LSTM,0.1251386847611162,0.22792693244453757,0.477416937743664,0.9414739713709488,,,,,,,,,,,,,,,,
XGBoost,0.10921348454353484,0.04144156874993684,0.20357202349521616,0.9893588247203661,,,,,,,,,,,,,,,,
Ensemble,0.0833449672954101,0.030580805449806146,0.17487368426897784,0.9921476015315114,,,,,,,,,,,,,,,,
T-Test,,,,,388303.0,0.020119927310843475,0.08873797021076324,141.2870280323357,0.0,0.01984081848981453,0.02039903613187242,0.22673413943384385,0.0,23691942161.5,0.0,,,,,
Delay Severity Analysis,,,,,,,,,,,,,,,,"{'样本数量': 387364, 'Ensemble MAE': 0.07940894006946476, 'XGBoost MAE': 0.10519270182944028, '相对改进率 (%)': 24.510979670225957}","{'样本数量': 939, 'Ensemble MAE': 1.707067278638429, 'XGBoost MAE': 1.7678998266761377, '相对改进率 (%)': 3.440949940703427}",,,
Uncertainty Analysis,,,,,,,,,,,,,,,,,,"{'样本数量': 128140, '平均不确定性': 0.024371034, '中位数不确定性': 0.0241957, 'Ensemble MAE': 0.06531318970306055, '简单平均法 MAE': 0.06717172622186665, 'MAE差值': 0.0018585365188061032, '相对改进率 (%)': 2.766843467246026}","{'样本数量': 132023, '平均不确定性': 0.080896795, '中位数不确定性': 0.07953033, 'Ensemble MAE': 0.06088998758690812, '简单平均法 MAE': 0.07163860831840652, 'MAE差值': 0.010748620731498397, '相对改进率 (%)': 15.003949663182798}","{'样本数量': 128140, '平均不确定性': 0.32042727, '中位数不确定性': 0.176655, 'Ensemble MAE': 0.12451217321658403, '简单平均法 MAE': 0.157419328684648, 'MAE差值': 0.03290715546806397, '相对改进率 (%)': 20.9041391187645}"
