,样本数量,平均不确定性,中位数不确定性,Ensemble MAE,简单平均法 MAE,MAE差值,相对改进率 (%)
低不确定性,128140,0.024371034,0.0241957,0.06531318970306055,0.06717172622186665,0.0018585365188061032,2.766843467246026
中不确定性,132023,0.080896795,0.07953033,0.06088998758690812,0.07163860831840652,0.010748620731498397,15.003949663182798
高不确定性,128140,0.32042727,0.176655,0.12451217321658403,0.157419328684648,0.03290715546806397,20.9041391187645
