,样本数量,平均不确定性,中位数不确定性,集成模型 MAE,简单平均法 MAE,MAE差值,相对改进率 (%)
低不确定性,160176,0.6334857,0.6289985,1.379206694423577,1.6180320899647358,0.23882539554115878,14.76023850345044
中不确定性,165029,2.0814266,2.048256,1.354799125360243,1.737111401884679,0.382312276524436,22.008506541931986
高不确定性,160176,8.989947,4.596789,3.005140287241025,4.445342533888755,1.4402022466477296,32.398003880880935
