,样本数量,平均不确定性,中位数不确定性,Ensemble MAE,简单平均法 MAE,MAE差值,相对改进率 (%)
低不确定性,160176,0.028903393,0.028644629,0.07458764379279831,0.08585129541264779,0.011263651619849477,13.119955343376324
中不确定性,165029,0.094351545,0.09306258,0.07677094257818015,0.08842368849153882,0.011652745913358672,13.178307885758139
高不确定性,160176,0.2762612,0.19976056,0.10545772578478313,0.12817897223712874,0.022721246452345606,17.72618866869343
